HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Input.image_url2,Input.image_url3,Input.image_url4,Answer.categories,Approve,Reject
301KG0KX9E1D4P1302QDDJ7CHXD2HJ,3ZYIH7REHGQZXCDCF4R5DPNYLHB1OF,Which shelf should each object go on?,Place the object you see on the left onto the correct shelf on the right,"categorize, image, similarity",$0.01,Mon Mar 11 20:39:34 PDT 2019,1,BatchId:3563647;OriginalHitTemplateId:928390873;,10800,259200,Mon Mar 18 20:39:34 PDT 2019,,,3YT88D1N0BEVDHWN0QCGY5OKS3JK3X,AZ5SAK71SEPOT,Submitted,Mon Mar 11 20:46:44 PDT 2019,Mon Mar 11 20:46:50 PDT 2019,Thu Mar 14 20:46:50 PDT 2019,,,,6,0% (0/0),0% (0/0),0% (0/0),bread,onion,bread,grape_juice,Middle
301KG0KX9E1D4P1302QDDJ7CHXDH2Y,3ZYIH7REHGQZXCDCF4R5DPNYLHB1OF,Which shelf should each object go on?,Place the object you see on the left onto the correct shelf on the right,"categorize, image, similarity",$0.01,Mon Mar 11 20:39:29 PDT 2019,1,BatchId:3563647;OriginalHitTemplateId:928390873;,10800,259200,Mon Mar 18 20:39:29 PDT 2019,,,3TVSS0C0E4GR7YOY4J1A4TMD994WTL,A5XRJ3DY8R068,Submitted,Mon Mar 11 20:46:27 PDT 2019,Mon Mar 11 20:46:34 PDT 2019,Thu Mar 14 20:46:34 PDT 2019,,,,7,0% (0/0),0% (0/0),0% (0/0),corn,onion,corn,crackers,Middle
301KG0KX9E1D4P1302QDDJ7CHXE2HK,3ZYIH7REHGQZXCDCF4R5DPNYLHB1OF,Which shelf should each object go on?,Place the object you see on the left onto the correct shelf on the right,"categorize, image, similarity",$0.01,Mon Mar 11 20:40:25 PDT 2019,1,BatchId:3563647;OriginalHitTemplateId:928390873;,10800,259200,Mon Mar 18 20:40:25 PDT 2019,,,35GCEFQ6I84Q2CV90RFQLKCXWCXZ3Z,A12OKT7538ICSC,Submitted,Mon Mar 11 20:49:37 PDT 2019,Mon Mar 11 20:49:43 PDT 2019,Thu Mar 14 20:49:43 PDT 2019,,,,6,0% (0/0),0% (0/0),0% (0/0),potato_chips,coke,crackers,cereal_2,Top
301KG0KX9E1D4P1302QDDJ7CHXF2HL,3ZYIH7REHGQZXCDCF4R5DPNYLHB1OF,Which shelf should each object go on?,Place the object you see on the left onto the correct shelf on the right,"categorize, image, similarity",$0.01,Mon Mar 11 20:41:20 PDT 2019,1,BatchId:3563647;OriginalHitTemplateId:928390873;,10800,259200,Mon Mar 18 20:41:20 PDT 2019,,,3KAKFY4PGXI47M6Z0NR4LP970ZZI3P,A16RNO7F5Z4KB0,Submitted,Mon Mar 11 20:54:37 PDT 2019,Mon Mar 11 20:54:43 PDT 2019,Thu Mar 14 20:54:43 PDT 2019,,,,6,0% (0/0),0% (0/0),0% (0/0),potato_chips,crackers,orange_juice,jelly,Top
301KG0KX9E1D4P1302QDDJ7CHXFH20,3ZYIH7REHGQZXCDCF4R5DPNYLHB1OF,Which shelf should each object go on?,Place the object you see on the left onto the correct shelf on the right,"categorize, image, similarity",$0.01,Mon Mar 11 20:41:15 PDT 2019,1,BatchId:3563647;OriginalHitTemplateId:928390873;,10800,259200,Mon Mar 18 20:41:15 PDT 2019,,,31T4R4OBOVWVV2LMAPY8N3NSSWZ7CF,A3TTNGV1Y7ZZP7,Submitted,Mon Mar 11 20:51:26 PDT 2019,Mon Mar 11 20:51:31 PDT 2019,Thu Mar 14 20:51:31 PDT 2019,,,,5,0% (0/0),0% (0/0),0% (0/0),corn,coke,orange_juice,corn,Bottom
301KG0KX9E1D4P1302QDDJ7CHXH2HN,3ZYIH7REHGQZXCDCF4R5DPNYLHB1OF,Which shelf should each object go on?,Place the object you see on the left onto the correct shelf on the right,"categorize, image, similarity",$0.01,Mon Mar 11 20:42:58 PDT 2019,1,BatchId:3563647;OriginalHitTemplateId:928390873;,10800,259200,Mon Mar 18 20:42:58 PDT 2019,,,3AZHRG4CU70T0RPJWX2YFL9BE5J30G,A1Y7DJHSPKJNVB,Submitted,Mon Mar 11 20:55:44 PDT 2019,Mon Mar 11 20:55:56 PDT 2019,Thu Mar 14 20:55:56 PDT 2019,,,,12,0% (0/0),0% (0/0),0% (0/0),crackers,corn,orange,grape_juice,Bottom
301KG0KX9E1D4P1302QDDJ7CHXHH22,3ZYIH7REHGQZXCDCF4R5DPNYLHB1OF,Which shelf should each object go on?,Place the object you see on the left onto the correct shelf on the right,"categorize, image, similarity",$0.01,Mon Mar 11 20:42:56 PDT 2019,1,BatchId:3563647;OriginalHitTemplateId:928390873;,10800,259200,Mon Mar 18 20:42:56 PDT 2019,,,3RYC5T2D769O7AE5O8IKCKDZSRARPE,A25HIGKP9TP1X8,Submitted,Mon Mar 11 20:55:13 PDT 2019,Mon Mar 11 20:55:26 PDT 2019,Thu Mar 14 20:55:26 PDT 2019,,,,13,0% (0/0),0% (0/0),0% (0/0),onion,apple,crackers,coke,Top
301KG0KX9E1D4P1302QDDJ7CHXI2HO,3ZYIH7REHGQZXCDCF4R5DPNYLHB1OF,Which shelf should each object go on?,Place the object you see on the left onto the correct shelf on the right,"categorize, image, similarity",$0.01,Mon Mar 11 20:43:48 PDT 2019,1,BatchId:3563647;OriginalHitTemplateId:928390873;,10800,259200,Mon Mar 18 20:43:48 PDT 2019,,,3TUI152ZZE3LEHG3QRIU6YLWTP4Q1A,A1LZWU72K42V92,Submitted,Mon Mar 11 20:57:17 PDT 2019,Mon Mar 11 20:57:29 PDT 2019,Thu Mar 14 20:57:29 PDT 2019,,,,12,0% (0/0),0% (0/0),0% (0/0),potato_chips,potato_chips,jelly,bread,Top
301KG0KX9E1D4P1302QDDJ7CHXJ2HP,3ZYIH7REHGQZXCDCF4R5DPNYLHB1OF,Which shelf should each object go on?,Place the object you see on the left onto the correct shelf on the right,"categorize, image, similarity",$0.01,Mon Mar 11 20:44:38 PDT 2019,1,BatchId:3563647;OriginalHitTemplateId:928390873;,10800,259200,Mon Mar 18 20:44:38 PDT 2019,,,34Q075JO10TXQOB49TOFRSUEGL810P,A1V5GKV1RQB2VH,Submitted,Mon Mar 11 20:58:51 PDT 2019,Mon Mar 11 20:59:00 PDT 2019,Thu Mar 14 20:59:00 PDT 2019,,,,9,0% (0/0),0% (0/0),0% (0/0),onion,apple,cereal_2,jelly,Top
302OLP89D1NBSKLRRP5R8ATUGT1ACQ,3ZYIH7REHGQZXCDCF4R5DPNYLHB1OF,Which shelf should each object go on?,Place the object you see on the left onto the correct shelf on the right,"categorize, image, similarity",$0.01,Mon Mar 11 20:40:36 PDT 2019,1,BatchId:3563647;OriginalHitTemplateId:928390873;,10800,259200,Mon Mar 18 20:40:36 PDT 2019,,,3NOKK93PR4OV1FKATOI9J1FCZVFEE0,A1HNR6OIRFCEHS,Submitted,Mon Mar 11 20:49:53 PDT 2019,Mon Mar 11 20:50:03 PDT 2019,Thu Mar 14 20:50:03 PDT 2019,,,,10,0% (0/0),0% (0/0),0% (0/0),cereal_2,orange_juice,corn,jelly,Bottom
302OLP89D1NBSKLRRP5R8ATUGT2ACR,3ZYIH7REHGQZXCDCF4R5DPNYLHB1OF,Which shelf should each object go on?,Place the object you see on the left onto the correct shelf on the right,"categorize, image, similarity",$0.01,Mon Mar 11 20:41:18 PDT 2019,1,BatchId:3563647;OriginalHitTemplateId:928390873;,10800,259200,Mon Mar 18 20:41:18 PDT 2019,,,3DYGAII7POOOV9Z5BTTK7U3UW56QPA,A3D6IPJ4RBCNVY,Submitted,Mon Mar 11 20:52:23 PDT 2019,Mon Mar 11 20:52:45 PDT 2019,Thu Mar 14 20:52:45 PDT 2019,,,,22,0% (0/0),0% (0/0),0% (0/0),bread,bread,orange,potato_chips,Top
