"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_url","Input.image_url2","Input.image_url3","Input.image_url4","Answer.categories","Approve","Reject"
"3538U0YQ1HAIBB6G9CGIT80RB37F3Y","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:28 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:28 PDT 2019","","","35USIKEBNUWVI648G52UX0H9B2JN6B","A2OJ99U77NT3B1","Submitted","Tue Jul 02 21:54:37 PDT 2019","Tue Jul 02 21:55:03 PDT 2019","Wed Jul 10 21:55:03 PDT 2019","","","","26","0% (0/0)","0% (0/0)","0% (0/0)","dessert.jpg","chips.jpg","noodles.jpg","frozen_snack.png","Top"
"391FPZIE4E2MO1A5JM0JJ2244V4UHJ","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:25 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:25 PDT 2019","","","336KAV9KYT81C4PL05Z2O3Y4ZHM2Y0","A312HQ3OU0EYTB","Submitted","Tue Jul 02 21:55:51 PDT 2019","Tue Jul 02 21:56:01 PDT 2019","Wed Jul 10 21:56:01 PDT 2019","","","","10","0% (0/0)","0% (0/0)","0% (0/0)","onions.jpg","onions.jpg","beverage.jpg","frozen_snack.png","Top"
"3VCK0Q0PO7UYIBK0ODHCZFBTAI9N0I","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:28 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:28 PDT 2019","","","3YDGXNSEO2AW0CDQRFKWI570QGF84O","A3L6DHONHOKCXS","Submitted","Tue Jul 02 21:56:59 PDT 2019","Tue Jul 02 22:00:29 PDT 2019","Wed Jul 10 22:00:29 PDT 2019","","","","210","0% (0/0)","0% (0/0)","0% (0/0)","chips.jpg","onions.jpg","beverage.jpg","frozen_snack.png","Bottom"
"3NKW03WTLONCTYYDXC2EA4F2GYBWQG","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:56 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:56 PDT 2019","","","3B837J3LDRCLK2UXGPME7PIBUO7SRS","A2PIOSRSY6CM3X","Submitted","Tue Jul 02 21:59:25 PDT 2019","Tue Jul 02 22:05:05 PDT 2019","Wed Jul 10 22:05:05 PDT 2019","","","","340","0% (0/0)","0% (0/0)","0% (0/0)","onions.jpg","onions.jpg","fruit.jpg","carrot.jpeg","Top"
"3126F2F5FAJXCMB7CZTJOTIS4YKEPR","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:25 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:25 PDT 2019","","","3LEP4MGT3JGS26UQN25ZCBR7BZTBD3","AFG3FXABPGSZS","Submitted","Tue Jul 02 21:56:12 PDT 2019","Tue Jul 02 21:56:30 PDT 2019","Wed Jul 10 21:56:30 PDT 2019","","","","18","100% (28/28)","0% (0/0)","0% (0/0)","onions.jpg","frozen_snack.png","chips.jpg","vegemite.jpg","Top"
"3VEI3XUCZTDMLQGCY5DJN0HBJNAPRF","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:29 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:29 PDT 2019","","","3OJSZ2ATDVCAWHC7VFB09XHJFS5574","A3FQ7AQJCV8SNP","Submitted","Tue Jul 02 21:58:51 PDT 2019","Tue Jul 02 21:59:27 PDT 2019","Wed Jul 10 21:59:27 PDT 2019","","","","36","0% (0/0)","0% (0/0)","0% (0/0)","cereal.jpg","carrot.jpeg","fruit.jpg","beverage.jpg","Top"
"3D7VY91L67DTKG2AASZ16HICWWXBMT","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:56 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:56 PDT 2019","","","3VD82FOHKT42G8DLRBFAYP9OXY1OCL","AH5C27EW5D73O","Submitted","Tue Jul 02 21:59:26 PDT 2019","Tue Jul 02 22:01:53 PDT 2019","Wed Jul 10 22:01:53 PDT 2019","","","","147","0% (0/0)","0% (0/0)","0% (0/0)","cereal.jpg","beverage.jpg","cereal.jpg","carrot.jpeg","Middle"
"3D1TUISJWKGMKWLPP4I4JE3J48JUIC","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:25 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:25 PDT 2019","","","33F859I569T9EMZS9YOP3W653RNBHD","A37O30WLLHE8QT","Submitted","Tue Jul 02 21:58:24 PDT 2019","Tue Jul 02 21:58:42 PDT 2019","Wed Jul 10 21:58:42 PDT 2019","","","","18","0% (0/0)","0% (0/0)","0% (0/0)","noodles.jpg","cereal.jpg","fruit.jpg","carrot.jpeg","Top"
"3B623HUYJ66DGDH8RDBDRORHGFU8S3","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:55 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:55 PDT 2019","","","3OB0CAO74K55RUS3JQ29B746O03YHD","A1DXFMUVK5015A","Submitted","Tue Jul 02 21:56:18 PDT 2019","Tue Jul 02 21:56:29 PDT 2019","Wed Jul 10 21:56:29 PDT 2019","","","","11","0% (0/0)","0% (0/0)","0% (0/0)","noodles.jpg","frozen_snack.png","carrot.jpeg","beverage.jpg","Top"
"3V8JSVE8Y06RL0383MP21KB483NEYL","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:27 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:27 PDT 2019","","","34HJIJKLP8CUBO93Z8V6AJR81EGV4G","APCG2B9LG0MZ7","Submitted","Tue Jul 02 21:57:28 PDT 2019","Tue Jul 02 21:57:35 PDT 2019","Wed Jul 10 21:57:35 PDT 2019","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","beverage.jpg","beverage.jpg","vegemite.jpg","cereal.jpg","Top"
